企業ID,企業名,メールアドレス,募集職種,メール用職種,送信日時,送信結果,トラッキングID,エラーメッセージ,件名,担当者メールアドレス,送信エラー
755,株式会社リニカル,info@linical.com,総務,総務,2025-06-24 11:27:19,success,769_info@linical.com_20250624112719_993506fe,,【総務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
756,株式会社伸和エージェンシー,info@shinwa-agency.co.jp,営業職,営業職,2025-06-24 11:27:24,success,770_info@shinwa-agency.co.jp_20250624112724_a12ed2c3,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
757,名阪食品株式会社,info@meihan-shokuhin.co.jp,給食施設運営管理スタッフ,給食施設運営管理スタッフ,2025-06-24 11:27:29,success,771_info@meihan-shokuhin.co.jp_20250624112729_5d4882d1,,【給食施設運営管理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
758,株式会社アイ・エー・エッチ,info@iah-osaka.com,組立スタッフ,組立スタッフ,2025-06-24 11:27:34,success,772_info@iah-osaka.com_20250624112734_ab816c45,,【組立スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
759,田丸産業株式会社,info@tamaru-ind.co.jp,積算職,積算職,2025-06-24 11:27:39,success,773_info@tamaru-ind.co.jp_20250624112739_42a160aa,,【積算職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
760,極洋電機株式会社,info@kyokuyoe.co.jp,商品管理,商品管理,2025-06-24 11:27:44,success,774_info@kyokuyoe.co.jp_20250624112744_c9d9a90e,,【商品管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
761,ネッツトヨタニューリー北大阪株式会杜,info@netznewly.co.jp,受付事務,受付事務,2025-06-24 11:27:50,success,775_info@netznewly.co.jp_20250624112749_38fbfc65,,【受付事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
762,日本マイクロシステムズ株式会社,info@jams.co.jp,システムエンジニア,システムエンジニア,2025-06-24 11:27:55,success,776_info@jams.co.jp_20250624112755_bac14937,,【システムエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
763,ケーテー自動車工業株式会社,info@keihan-kt.jp,整備士,整備士,2025-06-24 11:28:00,success,777_info@keihan-kt.jp_20250624112800_08b0ac70,,【整備士の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
764,株式会社カメリヤ・プランニング,info@t-gp.co.jp,旅館スタッフ,旅館スタッフ,2025-06-24 11:28:05,success,778_info@t-gp.co.jp_20250624112805_e93b28f2,,【旅館スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
765,株式会社アカツキ,info@akatsuki-sg.co.jp,スタッフ管理,スタッフ管理,2025-06-24 11:28:10,success,779_info@akatsuki-sg.co.jp_20250624112810_540a0aac,,【スタッフ管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
766,ニッキー株式会社,info@nikki-gr.co.jp,MD,MD,2025-06-24 11:28:15,success,780_info@nikki-gr.co.jp_20250624112815_2f070b96,,【MDの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
767,認定NPO法人ノーベル,info@nponobel.jp,遠隔サポート,遠隔サポート,2025-06-24 11:28:20,success,781_info@nponobel.jp_20250624112820_c1eef650,,【遠隔サポートの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
768,バイオニクス株式会社,info@bionics-k.co.jp,回路設計,回路設計,2025-06-24 11:28:26,success,782_info@bionics-k.co.jp_20250624112825_634abc9c,,【回路設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
769,ダイソーケミカル株式会社,info@daiso-chem.co.jp,品質管理,品質管理,2025-06-24 11:28:31,success,783_info@daiso-chem.co.jp_20250624112831_82b6012e,,【品質管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
770,オー・ケイ・エス株式会社,info@oks-net.com,メンテナンススタッフ,メンテナンススタッフ,2025-06-24 11:28:36,success,784_info@oks-net.com_20250624112836_c94f382d,,【メンテナンススタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
771,FCM株式会社,info@fc-m.co.jp,営業職,営業職,2025-06-24 11:28:41,success,785_info@fc-m.co.jp_20250624112841_08d4525c,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
772,株式会社ナガオカ,info@nagaokajapan.co.jp,営業職,営業職,2025-06-24 11:28:46,success,786_info@nagaokajapan.co.jp_20250624112846_f1e959d0,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
773,西谷商事株式会社,info@nisitani.co.jp,営業職,営業職,2025-06-24 11:28:52,success,787_info@nisitani.co.jp_20250624112851_73dbb42b,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
774,八光電子工業株式会社,info@hachiden.biz,総合職,総合職,2025-06-24 11:28:57,success,788_info@hachiden.biz_20250624112857_c5965047,,【総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
775,税理士法人イースリーパートナーズ,info@e3-partners.com,税務スタッフ,税務スタッフ,2025-06-24 11:29:02,success,789_info@e3-partners.com_20250624112902_fb4a1fc7,,【税務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
776,東洋技研株式会社,info@toyogiken.net,電気工事の施工管理,電気工事の施工管理,2025-06-24 11:29:07,success,790_info@toyogiken.net_20250624112907_0c8b3ad6,,【電気工事の施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
777,株式会社クボタ建設,info@kubota-const.co.jp,土木施工管理,土木施工管理,2025-06-24 11:29:12,success,791_info@kubota-const.co.jp_20250624112912_357cb79b,,【土木施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
778,株式会社ユーエイ,info@yuei-group.com,組立スタッフ,組立スタッフ,2025-06-24 11:29:17,success,792_info@yuei-group.com_20250624112917_cafbfc48,,【組立スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
779,中林建設株式会社,info@nakabayashi-kensetsu.co.jp,土木施工管理,土木施工管理,2025-06-24 11:29:23,success,793_info@nakabayashi-kensetsu.co.jp_20250624112922_d3dfe32d,,【土木施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
780,ホソカワミクロン株式会社,info@hosokawamicron.co.jp,営業職,営業職,2025-06-24 11:29:28,success,794_info@hosokawamicron.co.jp_20250624112928_a643a048,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
781,藤原工業株式会社,info@fujiwarasafetyglass.co.jp,設備保全,設備保全,2025-06-24 11:29:33,success,795_info@fujiwarasafetyglass.co.jp_20250624112933_9d50a0cb,,【設備保全の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
782,京阪カインド株式会社,info@keihan-kind.co.jp,マンション管理,マンション管理,2025-06-24 11:29:38,success,796_info@keihan-kind.co.jp_20250624112938_da5ae28d,,【マンション管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
783,Ｉｎ．Ｔｅ株式会社,info@in-te.co.jp,COBOLエンジニア,COBOLエンジニア,2025-06-24 11:29:43,success,797_info@in-te.co.jp_20250624112943_17dbe9fe,,【COBOLエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
784,株式会社ＣＨＡＭＰＩＯＮ ＣＯＲＰＯＲＡＴＩＯＮ,info@champ-j.com,製造職,製造職,2025-06-24 11:29:48,success,798_info@champ-j.com_20250624112948_41920d26,,【製造職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
785,株式会社中道組,info@nakamichi-gumi.com,施工管理職,施工管理職,2025-06-24 11:29:54,success,799_info@nakamichi-gumi.com_20250624112953_d5c5ba47,,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
786,ゴールド工業株式会社,info@gold-ind.co.jp,一般事務,一般事務,2025-06-24 11:29:59,success,800_info@gold-ind.co.jp_20250624112959_2c13d593,,【一般事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
787,BEMAC Kiden株式会社,info@bemac-kiden.com,製造職,製造職,2025-06-24 11:32:20,success,801_info@bemac-kiden.com_20250624113220_4c7d460f,,【製造職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
788,株式会社ソルテック工業,info@soltec21.co.jp,プラント施工管理,プラント施工管理,2025-06-24 11:32:26,success,802_info@soltec21.co.jp_20250624113225_e25a09dd,,【プラント施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
789,大進電設工業株式会社,info@daishindensetsu.co.jp,電気施工管理,電気施工管理,2025-06-24 11:32:31,success,803_info@daishindensetsu.co.jp_20250624113231_a55b78e8,,【電気施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
790,株式会社K．G．ONE,info@kgone.co.jp,営業職,営業職,2025-06-24 11:32:36,success,804_info@kgone.co.jp_20250624113236_b60a709b,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
791,有限会社ケイツー電子工業,info@k2-denshi.com,無線機器の電子回路設計,無線機器の電子回路設計,2025-06-24 11:32:41,success,805_info@k2-denshi.com_20250624113241_417901b9,,【無線機器の電子回路設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
792,株式会社キーマン,info@keyman.co.jp,施工管理職,施工管理職,2025-06-24 11:32:46,success,806_info@keyman.co.jp_20250624113246_368055d4,,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
792,株式会社キーマン,info@keyman.co.jp,施工管理職,施工管理職,2025-06-24 18:12:32,unsubscribed,,配信停止: 手動確認による配信停止申請,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
793,株式会社サンコオア,info@koakosan.co.jp,不動産管理,不動産管理,2025-06-24 11:32:51,success,807_info@koakosan.co.jp_20250624113251_99c3de34,,【不動産管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
794,三和建設株式会社,info@sgc-web.co.jp,積算職,積算職,2025-06-24 11:32:57,success,808_info@sgc-web.co.jp_20250624113256_7b6996fa,,【積算職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
795,株式会社大阪砕石工業所,info@osakasaiseki.co.jp,経理スタッフ,経理スタッフ,2025-06-24 11:33:02,success,809_info@osakasaiseki.co.jp_20250624113302_69186f7f,,【経理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
796,株式会社コンステック,info@constec.co.jp,建築施工管理,建築施工管理,2025-06-24 11:33:07,success,810_info@constec.co.jp_20250624113307_8df64c73,,【建築施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
797,株式会社ハーマン,info@harman.co.jp,提案営業,提案営業,2025-06-24 11:33:12,success,811_info@harman.co.jp_20250624113312_fac15a35,,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
798,株式会社日本経営,info@nihon-keiei.co.jp,M&Aコンサルタント,M&Aコンサルタント,2025-06-24 11:33:17,success,812_info@nihon-keiei.co.jp_20250624113317_ed79f679,,【M&Aコンサルタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
799,株式会社バリューエコロジー,info@valueecology.jp,施工管理職,施工管理職,2025-06-24 11:33:23,success,813_info@valueecology.jp_20250624113322_a7ec0e05,,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
800,ユーフーズ株式会社,info@ufoods.co.jp,事務スタッフ,事務スタッフ,2025-06-24 11:33:28,success,814_info@ufoods.co.jp_20250624113328_e2d0b5a6,,【事務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
801,株式会社ワイヤーテクノ,info@wire-techno.co.jp,製造スタッフ,製造スタッフ,2025-06-24 11:33:33,success,815_info@wire-techno.co.jp_20250624113333_7c5a1287,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
802,守口門真商工会議所,info@mk-cci.jp,商工会議所職員,商工会議所職員,2025-06-24 11:33:38,success,816_info@mk-cci.jp_20250624113338_ead97eb1,,【商工会議所職員の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
803,株式会社クレドメディカル,info@credo-m.co.jp,経営コンサルタント,経営コンサルタント,2025-06-24 11:33:43,success,817_info@credo-m.co.jp_20250624113343_a0930773,,【経営コンサルタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
804,株式会社クレドメディカル,info@credo-m.co.jp,経営コンサルタント,経営コンサルタント,2025-06-24 11:33:49,success,818_info@credo-m.co.jp_20250624113348_c2d4209f,,【経営コンサルタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
805,積水樹脂株式会社,info@sekisuijushi.co.jp,機械調整スタッフ,機械調整スタッフ,2025-06-24 11:33:54,success,819_info@sekisuijushi.co.jp_20250624113354_6f090496,,【機械調整スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
806,株式会社立花エレテック,info@tachibana.co.jp,FAE・FA営業,FAE・FA営業,2025-06-24 11:33:59,success,820_info@tachibana.co.jp_20250624113359_d09e558e,,【FAE・FA営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
807,株式会社フジオフードシステム,recruit@fujio-food.com,店長候補,店長候補,2025-06-24 11:34:04,success,822_recruit@fujio-food.com_20250624113404_727a8e62,,【店長候補の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
808,関西化工株式会社,info@kansaikako.co.jp,ルート営業,ルート営業,2025-06-24 11:34:09,success,823_info@kansaikako.co.jp_20250624113409_2f4faefe,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
809,エナジーライフ株式会社,info@energy-life.co.jp,インサイドセールス,インサイドセールス,2025-06-24 11:34:14,success,824_info@energy-life.co.jp_20250624113414_630644d6,,【インサイドセールスの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
810,新教育総合研究会株式会社,info@shinkyoiku.com,教室運営スタッフ,教室運営スタッフ,2025-06-24 11:34:19,success,825_info@shinkyoiku.com_20250624113419_0f8ea3f6,,【教室運営スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
811,株式会社勇行物流,info@youco-logi.co.jp,ドライバー,ドライバー,2025-06-24 11:34:25,success,826_info@youco-logi.co.jp_20250624113424_5116dc02,,【ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
812,株式会社JR西日本メンテック,info@j-maintec.co.jp,車両基地内運転士候補,車両基地内運転士候補,2025-06-24 11:34:30,success,827_info@j-maintec.co.jp_20250624113430_3580e9ed,,【車両基地内運転士候補の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
813,株式会社ブローバック,info@blowback.co.jp,法人営業職,法人営業職,2025-06-24 11:34:35,success,828_info@blowback.co.jp_20250624113435_fccb7bb8,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
814,福栄鋼材株式会社,info@fukuei.com,加工,加工,2025-06-24 11:34:40,success,829_info@fukuei.com_20250624113440_e497b8a1,,【加工の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
815,株式会社テクノプラン,info@tekunopulan.co.jp,機械設計,機械設計,2025-06-24 11:34:45,success,830_info@tekunopulan.co.jp_20250624113445_17d5c45a,,【機械設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
816,株式会社シャロン,info@shalon-puff.co.jp,ルート営業,ルート営業,2025-06-24 11:34:50,success,831_info@shalon-puff.co.jp_20250624113450_baf4f95b,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
817,富士精版印刷株式会社,info@fujiseihan.co.jp,クリエイティブディレクター,クリエイティブディレクター,2025-06-24 11:34:56,success,832_info@fujiseihan.co.jp_20250624113455_99ef6496,,【クリエイティブディレクターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
818,ジェクス株式会社,info@jex-inc.co.jp,射出成型オペレーター,射出成型オペレーター,2025-06-24 11:35:01,success,833_info@jex-inc.co.jp_20250624113501_2f2445f3,,【射出成型オペレーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
819,株式会社ファンズプロダクション,info@funs-pro.co.jp,アシスタントディレクター,アシスタントディレクター,2025-06-24 11:35:06,success,834_info@funs-pro.co.jp_20250624113506_27a0d885,,【アシスタントディレクターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
820,クックビズ株式会社,info@corp.cookbiz.co.jp,経理,経理,2025-06-24 11:35:11,success,835_info@corp.cookbiz.co.jp_20250624113511_3c1aa825,,【経理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
821,株式会社トーケミ,info@tohkemy.co.jp,営業職,営業職,2025-06-24 11:35:16,success,836_info@tohkemy.co.jp_20250624113516_2255d2a1,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
822,株式会社泉陽,info@sen-yo.co.jp,機械オペレーター・検査スタッフ,機械オペレーター・検査スタッフ,2025-06-24 11:35:21,success,837_info@sen-yo.co.jp_20250624113521_a766f0d1,,【機械オペレーター・検査スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
823,株式会社Bell,info@tanpoponowatage.com,言語聴覚士,言語聴覚士,2025-06-24 11:35:27,success,839_info@tanpoponowatage.com_20250624113526_3f36ab1e,,【言語聴覚士の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
824,株式会社信明商事,info@shinmei-trading.co.jp,法人営業職,法人営業職,2025-06-24 11:35:32,success,840_info@shinmei-trading.co.jp_20250624113532_dabb736e,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
825,株式会社ミラタップ,info@info.miratap.co.jp,物流業務スタッフ,物流業務スタッフ,2025-06-24 11:35:37,success,841_info@info.miratap.co.jp_20250624113537_f6ca68a9,,【物流業務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
826,大嘉産業株式会社,info@daika.co.jp,社内SE,社内SE,2025-06-24 11:35:42,success,842_info@daika.co.jp_20250624113542_655c09e0,,【社内SEの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
827,株式会社A-1設計,info@a-1sekkei.com,提案営業,提案営業,2025-06-24 11:35:47,success,843_info@a-1sekkei.com_20250624113547_16315886,,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
828,株式会社西村商店,info@xn--mck0a299wb94c.nokotonara.com,ルート営業,ルート営業,2025-06-24 11:35:52,success,844_info@xn--mck0a299wb94c.nokotonara.com_20250624113552_df838970,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
829,デュプロ株式会社,info@duplo.co.jp,メンテナンススタッフ,メンテナンススタッフ,2025-06-24 11:35:58,success,845_info@duplo.co.jp_20250624113557_3afdf620,,【メンテナンススタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
830,株式会社ソーキ,info@sooki.co.jp,ルート営業,ルート営業,2025-06-24 11:36:03,success,846_info@sooki.co.jp_20250624113603_7fd47e05,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
831,阪急阪神不動産株式会社,info@hhp.co.jp,不動産売買の仲介営業,不動産売買の仲介営業,2025-06-24 11:36:08,success,847_info@hhp.co.jp_20250624113608_8e51beeb,,【不動産売買の仲介営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
832,Daigasガスアンドパワーソリューション株式会社,info@daigasgps.co.jp,保安安全業務,保安安全業務,2025-06-24 11:36:13,success,848_info@daigasgps.co.jp_20250624113613_fc452dd5,,【保安安全業務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
833,澤田建設工業株式会社,info@sawada-c.co.jp,施工管理アシスタント,施工管理アシスタント,2025-06-24 11:36:18,success,849_info@sawada-c.co.jp_20250624113618_827048fe,,【施工管理アシスタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
834,大化工業株式会社,info@daika-kogyo.co.jp,製造スタッフ,製造スタッフ,2025-06-24 11:36:24,success,850_info@daika-kogyo.co.jp_20250624113623_ece64200,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
835,森田化学工業株式会社,info@morita-kagaku.co.jp,技術系総合職,技術系総合職,2025-06-24 11:36:29,success,851_info@morita-kagaku.co.jp_20250624113629_23f62720,,【技術系総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
836,株式会社ラフト,info@raft-inc.jp,意匠設計,意匠設計,2025-06-24 11:36:34,success,852_info@raft-inc.jp_20250624113634_30a6753c,,【意匠設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
837,東尾メック株式会社,info@mech.co.jp,経理,経理,2025-06-24 11:36:39,success,853_info@mech.co.jp_20250624113639_3e184c04,,【経理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
838,株式会社メンテナンスファクトリー関西,info@xymax.co.jp,総合職,総合職,2025-06-24 11:36:44,success,854_info@xymax.co.jp_20250624113644_7637beec,,【総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
839,株式会社萬栄,info@manei.co.jp,社内SE,社内SE,2025-06-24 11:36:49,success,855_info@manei.co.jp_20250624113649_911567b8,,【社内SEの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
840,株式会社山田硝子店,info@yamadaglass.co.jp,ルート営業,ルート営業,2025-06-24 11:36:54,success,856_info@yamadaglass.co.jp_20250624113654_4dab4ce2,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
841,東洋建設株式会社,info@totetsuken.co.jp,建築施工管理,建築施工管理,2025-06-24 11:37:00,success,857_info@totetsuken.co.jp_20250624113659_4407b4b4,,【建築施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
842,梅田電機株式会社,info@umeda-electric.com,システムエンジニア,システムエンジニア,2025-06-24 11:37:05,success,858_info@umeda-electric.com_20250624113705_0dbb91b5,,【システムエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
843,奥田金属株式会社,info@okuda-kinzoku.co.jp,製造職,製造職,2025-06-24 11:37:10,success,859_info@okuda-kinzoku.co.jp_20250624113710_25c439d1,,【製造職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
844,新栄運輸株式会社,info@shin-ei-unyu.com,ルート配送ドライバー,ルート配送ドライバー,2025-06-24 11:37:15,success,860_info@shin-ei-unyu.com_20250624113715_648074db,,【ルート配送ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
845,株式会社テイジイエル,info@tgl.co.jp,プログラマー,プログラマー,2025-06-24 11:37:20,success,861_info@tgl.co.jp_20250624113720_e7a36b0e,,【プログラマーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
846,萬世電機株式会社,info@mansei.co.jp,営業職,営業職,2025-06-24 11:37:26,success,862_info@mansei.co.jp_20250624113725_0963595c,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
847,医療法人尽生会,info@seiwabyoin.com,医療事務,医療事務,2025-06-24 11:37:31,success,863_info@seiwabyoin.com_20250624113731_94c15b40,,【医療事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
848,社会福祉法人大阪市浪速区社会福祉協議会,info@naniwa-ku-cosw.or.jp,看護師,看護師,2025-06-24 11:37:36,success,864_info@naniwa-ku-cosw.or.jp_20250624113736_776b909c,,【看護師の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
849,ALSOK近畿株式会社,info@alsok-kinki.co.jp,セキュリティースタッフ,セキュリティースタッフ,2025-06-24 11:37:41,success,865_info@alsok-kinki.co.jp_20250624113741_81d2ae2e,,【セキュリティースタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
850,西日本不動産株式会社,info@nfc21.jp,反響型営業,反響型営業,2025-06-24 11:37:46,success,866_info@nfc21.jp_20250624113746_806fb934,,【反響型営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
851,株式会社JR西日本コミュニケーションズ,info@jcomm.co.jp,ストラテジックプランナー,ストラテジックプランナー,2025-06-24 11:37:51,success,867_info@jcomm.co.jp_20250624113751_73cc8a99,,【ストラテジックプランナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
852,誠和産業株式会社,info@seiwa-sangyo-ltd.co.jp,企画営業,企画営業,2025-06-24 11:37:57,success,868_info@seiwa-sangyo-ltd.co.jp_20250624113757_9e98d349,,【企画営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
853,総合機販株式会社,info@sougou-kihan.com,法人営業職,法人営業職,2025-06-24 11:38:02,success,869_info@sougou-kihan.com_20250624113802_25346ed2,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
854,株式会社アイ工務店,info@ai-koumuten.co.jp,ハウスプランナー,ハウスプランナー,2025-06-24 11:38:08,success,870_info@ai-koumuten.co.jp_20250624113807_4073c3ed,,【ハウスプランナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
855,株式会社豊運,recuruit@ho-un.co.jp,営業職,営業職,2025-06-24 11:38:13,success,871_recuruit@ho-un.co.jp_20250624113813_2408b369,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
856,株式会社ハイウエイ管制,info@highway-kansei.co.jp,メンテナンススタッフ,メンテナンススタッフ,2025-06-24 11:38:18,success,872_info@highway-kansei.co.jp_20250624113818_fe8a1596,,【メンテナンススタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
857,株式会社犬印本舗,info@inujirushi.co.jp,パタンナー,パタンナー,2025-06-24 11:38:23,success,873_info@inujirushi.co.jp_20250624113823_047caf20,,【パタンナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
858,石田エンジニアリング株式会社,info@ieg.jp,エレベーター設置スタッフ,エレベーター設置スタッフ,2025-06-24 11:38:28,success,874_info@ieg.jp_20250624113828_3a6f6c9b,,【エレベーター設置スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
859,きた産業株式会社,info@kitasangyo.com,包装資材等の営業,包装資材等の営業,2025-06-24 11:38:33,success,875_info@kitasangyo.com_20250624113833_71ab944a,,【包装資材等の営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
860,富士工業株式会社,info@ozax.co.jp,営業職,営業職,2025-06-24 11:38:39,success,876_info@ozax.co.jp_20250624113838_b47eb1d5,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
861,ケーエム精工株式会社,info@kmseiko.co.jp,営業職,営業職,2025-06-24 11:38:44,success,877_info@kmseiko.co.jp_20250624113844_a7daf121,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
862,株式会社ライフステージ,info@ls-elc.co.jp,電気施工監理技術者,電気施工監理技術者,2025-06-24 11:38:49,success,878_info@ls-elc.co.jp_20250624113849_5218aab9,,【電気施工監理技術者の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
863,株式会社西野,info@kk-nishino.co.jp,営業職,営業職,2025-06-24 11:38:54,success,879_info@kk-nishino.co.jp_20250624113854_573db56a,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
864,I・T・O株式会社,info@itokoki.co.jp,設計職,設計職,2025-06-24 11:38:59,success,880_info@itokoki.co.jp_20250624113859_b57a7b88,,【設計職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
865,株式会社ヒシヒラ,info@hishihira.co.jp,営業職,営業職,2025-06-24 11:39:05,success,881_info@hishihira.co.jp_20250624113904_bfb151c0,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
866,トクエ株式会社,info@tokue-corp.co.jp,ルート営業,ルート営業,2025-06-24 11:39:10,success,882_info@tokue-corp.co.jp_20250624113910_c9e0d9a6,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
867,株式会社SIEC,info@siec.co.jp,人材コンサルタント,人材コンサルタント,2025-06-24 11:39:15,success,883_info@siec.co.jp_20250624113915_7cb15cb7,,【人材コンサルタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
868,広和株式会社,info@kwk.co.jp,回路設計,回路設計,2025-06-24 11:39:20,success,884_info@kwk.co.jp_20250624113920_30286d57,,【回路設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
